"Moment","Concepts","Agency","Social"
"I made my husband laugh.","family|romance","yes","yes"
"I was able to start my new job and be able to move to a new town.","career","yes","no"
"Watching my favourite team winning the indian premier league, me being a big fan of sachin tendulkar was very happy to watch his team doing very well in the current edition of IPL.","entertainment","no","no"
"The day with my pet","animals","no","yes"
"I heard my unborn child's' heartbeat at the midwifery office.","family","no","no"
"I drank some soda.","food","yes","no"
"I made soup for my hubby without using a recipe and it turned out amazing.","food|family","yes","yes"
"The feeling there's some real warmth in the sun at last as it streams in through the window, first thing in the morning","weather","no","no"
"I finished a project up that was late a week and had been causing me stress.","career","yes","no"
"The time my sister asked me to give her away at her wedding.","family","no","yes"
"My favorite reality TV show is The Amazing Race and they aired two episodes back to back this week so that provided a lot of great entertainment.","entertainment","no","no"
"It made me very happy to hear the doctor tell me brother that his diabetic classification is now ""diet controlled"", so he doesn't need to take medication for it now.","family","no","yes"
"Enjoying quality time with my daughter to watch her interact with others made me realize I did a good job raising her.","family","yes","yes"
"My favorite show came back on netflix","entertainment","no","no"
"Laying in bed watching movies all day with my spouse was so heavenly.","entertainment|family","yes","yes"
"I went on a vacation where I didn't have to do much of anything at all.","vacation","yes","no"
"YESTERDAY WE ARE GOING TO MY VILLAGE AND CELEBRATE THE FESTIVAL THAT'S MY HAPPIEST MOMENT.","party","yes","yes"
"I had some of my favorite rose.","food","yes","no"
"I celebrate the upcoming birth of my new niece.","party","yes","yes"
"My cat sat on my lap for a little while and let me pet and hug him.","animals","no","yes"
"I purchased a new laptop brand is Dell.","technology|shopping","yes","no"
"Watching my favorite childhood movie The Wizard of Oz on television.","entertainment","yes","no"
"I chatted with a friend and made some jokes about things which lightened the heavy mood she was in.","conversation","yes","yes"
"I got three days off from work.","career","no","no"
"When my girlfriend brought me coffee to bed this morning.","romance|food","no","yes"
"On my way to work my favorite song came on the radio.","entertainment","yes","no"
"when my sister marriage in 2 april I was so happy and also excited","family","no","yes"
"Winning a small prize in a local lottery.","shopping","no","no"
"I was able to go for a bike ride; I love cycling, and it was the first day this year that it was warm enough to go out.","exercise|weather","yes","no"
"During my birthday,My friends came to my house for celebrating birthday party to me.They came with cake and gifts.","party","yes","yes"
"made myself a delicious egg salad","food","yes","no"
"I felt very happy when I bought my boyfriend his birthday gift because I knew he would really like it.","romance|shopping","yes","yes"
"I enjoyed showing my Mother-In-Law the gardening and landscaping I've been working on in my backyard.","family","yes","yes"
"I watched some fun videos.","entertainment","yes","no"
"Yesterday I had won a free fifty dollar walmart card for submitting a survey in the store.","shopping","no","no"
"My parents came over to spend the day with my son.","family","no","yes"
"I wanted to get lunch, but I didn't feel like going anywhere, but I remembered I had some pizza in the fridge.","food","yes","no"
"The day my best friend asked me to be his best man in his wedding.","party|family|romance","no","yes"
"A long lost relative contacted me who I had not been in touch with in many years.","family","no","yes"
"Two months and five days ago, a fellow author notified me that I'd made the list of the Top 200 Most Influential Authors 2017--I was listed as number 98!","career","no","yes"
"I did well on a recent job interview","career","yes","yes"
"A happy event that made me happy in the past 24 hours was taking a walk outside for around half a hour.","exercise","yes","no"
"I went back to church","religion","yes","no"
"My friend, that I had not seen in a long time, showed up at the gym when I was there and we got to catch up and work out together!","exercise","no","yes"
"I woke up to a loving text message from my friend Renee.","romance","no","yes"
"Last night, I was able to reach my online earnings goal for the week of $250.","entertainment","yes","no"
"My cousin's daughter named her doll after me.","family","no","yes"
"Smoking weed and watching hockey on tv.","entertainment","yes","no"
"A good dinner in a nice restaurant with coworkers.","food","yes","yes"
"last night i do sex with my lover","romance","yes","yes"
"I was happy that my son woke up and was very happy and cooperative as I got him ready for daycare.","family","no","yes"
"My son said ""I love you mommy"".","family","no","yes"
"Thanks to not having to answer many questions over the phone at work today, I was able to make significant progress on an important work project.","career","no","no"
"When I found a job interview about my career, I never thought I would have done it, because that's a thing I've been waiting for","career","yes","no"
"I discovered that I had two old game consoles that are still functioning and I've been able to play old games again and go down memory lane.","entertainment","yes","no"
